,YEAR,YEARLY_MEAN_TEMP,RELATIVE_TEMP,DATATYPE
0,1878,9.26,3.5,tmax
1,1879,7.44,3.079999999999999,tmax
2,1880,9.1,3.4399999999999995,tmax
3,1881,8.58,3.539999999999999,tmax
4,1882,9.47,3.5199999999999996,tmax
5,1883,9.04,3.66,tmax
6,1884,9.85,3.76,tmax
7,1885,8.58,3.709999999999999,tmax
8,1886,8.74,3.4299999999999997,tmax
9,1887,8.3,3.92,tmax
10,1888,8.24,3.34,tmax
11,1889,9.02,3.460000000000001,tmax
12,1890,8.76,3.630000000000001,tmax
13,1891,8.51,3.6400000000000006,tmax
14,1892,8.18,3.6799999999999997,tmax
15,1893,10.01,4.1,tmax
16,1894,9.32,3.379999999999999,tmax
17,1895,8.7,3.7700000000000014,tmax
18,1896,9.34,3.5700000000000003,tmax
19,1897,9.44,3.460000000000001,tmax
20,1898,10.1,3.5199999999999996,tmax
21,1899,9.71,3.92,tmax
22,1900,9.6,3.540000000000001,tmax
23,1901,9.15,3.74,tmax
24,1902,8.88,3.3499999999999996,tmax
25,1903,9.33,3.1999999999999993,tmax
26,1904,9.02,3.49,tmax
27,1905,9.16,3.4399999999999995,tmax
28,1906,9.47,3.74,tmax
29,1907,8.88,3.5299999999999994,tmax
30,1908,9.28,3.51,tmax
31,1909,8.59,3.6099999999999994,tmax
32,1910,9.2,3.4000000000000004,tmax
33,1911,10.09,3.790000000000001,tmax
34,1912,9.37,3.450000000000001,tmax
35,1913,9.83,3.4800000000000004,tmax
36,1914,9.9,3.799999999999999,tmax
37,1915,8.96,3.76,tmax
38,1916,9.2,3.5200000000000014,tmax
39,1917,8.55,3.5699999999999985,tmax
40,1918,9.53,3.67,tmax
41,1919,8.53,3.67,tmax
42,1920,9.58,3.41,tmax
43,1921,10.51,3.960000000000001,tmax
44,1922,8.7,3.5,tmax
45,1923,9.11,3.380000000000001,tmax
46,1924,9.29,3.2600000000000016,tmax
47,1925,9.2,3.5200000000000014,tmax
48,1926,9.74,3.3900000000000006,tmax
49,1927,9.24,3.2300000000000004,tmax
50,1928,9.59,3.6500000000000004,tmax
51,1929,9.06,3.92,tmax
52,1930,9.47,3.33,tmax
53,1931,9.02,3.360000000000001,tmax
54,1932,9.41,3.4399999999999995,tmax
55,1933,9.86,3.8500000000000014,tmax
56,1934,10.03,3.7700000000000014,tmax
57,1935,9.74,3.59,tmax
58,1936,9.35,3.4700000000000006,tmax
59,1937,9.59,3.5,tmax
60,1938,10.21,3.6799999999999997,tmax
61,1939,9.7,3.5200000000000014,tmax
62,1940,9.06,3.9000000000000004,tmax
63,1941,9.12,3.530000000000001,tmax
64,1942,9.11,3.6400000000000006,tmax
65,1943,10.05,3.799999999999999,tmax
66,1944,9.59,3.620000000000001,tmax
67,1945,10.29,3.620000000000001,tmax
68,1946,9.46,3.5599999999999987,tmax
69,1947,9.65,3.6799999999999997,tmax
70,1948,10.03,3.710000000000001,tmax
71,1949,10.64,3.99,tmax
72,1950,9.43,3.460000000000001,tmax
73,1951,9.3,3.5,tmax
74,1952,9.12,3.6000000000000014,tmax
75,1953,9.87,3.6900000000000013,tmax
76,1954,9.26,3.4000000000000004,tmax
77,1955,9.33,3.8599999999999994,tmax
78,1956,8.87,3.620000000000001,tmax
79,1957,10.06,3.67,tmax
80,1958,9.45,3.41,tmax
81,1959,10.52,4.110000000000001,tmax
82,1960,9.75,3.5999999999999996,tmax
83,1961,9.95,3.790000000000001,tmax
84,1962,8.61,3.5700000000000003,tmax
85,1963,8.52,3.5500000000000007,tmax
86,1964,9.48,3.6799999999999997,tmax
87,1965,8.99,3.5600000000000005,tmax
88,1966,9.47,3.3999999999999986,tmax
89,1967,9.64,3.389999999999999,tmax
90,1968,9.32,3.3200000000000003,tmax
91,1969,9.32,3.5199999999999996,tmax
92,1970,9.6,3.630000000000001,tmax
93,1971,9.72,3.67,tmax
94,1972,9.22,3.4799999999999986,tmax
95,1973,9.57,3.74,tmax
96,1974,9.64,3.5599999999999987,tmax
97,1975,10.04,3.83,tmax
98,1976,10.1,3.860000000000001,tmax
99,1977,9.51,3.4000000000000004,tmax
100,1978,9.47,3.459999999999999,tmax
101,1979,8.85,3.5199999999999996,tmax
102,1980,9.42,3.5500000000000007,tmax
103,1981,9.28,3.51,tmax
104,1982,9.86,3.7200000000000006,tmax
105,1983,10.1,3.59,tmax
106,1984,9.75,3.8200000000000003,tmax
107,1985,8.9,3.469999999999999,tmax
108,1986,8.81,3.549999999999999,tmax
109,1987,9.08,3.41,tmax
110,1988,9.8,3.5,tmax
111,1989,10.54,3.960000000000001,tmax
112,1990,10.65,3.9499999999999993,tmax
113,1991,9.58,3.6799999999999997,tmax
114,1992,9.87,3.6000000000000014,tmax
115,1993,9.52,3.5,tmax
116,1994,10.29,3.5200000000000014,tmax
117,1995,10.55,3.8999999999999986,tmax
118,1996,9.22,3.67,tmax
119,1997,10.56,3.83,tmax
120,1998,10.35,3.610000000000001,tmax
121,1999,10.65,3.7799999999999994,tmax
122,2000,10.32,3.58,tmax
123,2001,9.97,3.709999999999999,tmax
124,2002,10.63,3.7299999999999986,tmax
125,2003,10.54,4.300000000000001,tmax
126,2004,10.5,3.58,tmax
127,2005,10.48,3.76,tmax
128,2006,10.87,3.6800000000000015,tmax
129,2007,10.5,3.7300000000000004,tmax
130,2008,9.97,3.639999999999999,tmax
131,2009,10.14,3.709999999999999,tmax
132,2010,8.86,3.780000000000001,tmax
133,2011,10.72,3.8199999999999985,tmax
134,2012,9.72,3.709999999999999,tmax
135,2013,9.61,3.6799999999999997,tmax
136,2014,10.95,3.8000000000000007,tmax
137,2015,10.31,3.8599999999999994,tmax
138,2016,10.34,3.84,tmax
139,2017,10.58,3.7200000000000006,tmax
140,2018,10.68,4.040000000000001,tmax
141,2019,10.34,3.9700000000000006,tmax
142,2020,10.76,3.9700000000000006,tmax
143,2021,-99.99,0.0,tmax
0,1878,9.26,-3.4399999999999995,tmin
1,1879,7.44,-3.08,tmin
2,1880,9.1,-3.4699999999999998,tmin
3,1881,8.58,-3.55,tmin
4,1882,9.47,-3.5300000000000002,tmin
5,1883,9.04,-3.6599999999999993,tmin
6,1884,9.85,-3.75,tmin
7,1885,8.58,-3.6799999999999997,tmin
8,1886,8.74,-3.41,tmin
9,1887,8.3,-3.910000000000001,tmin
10,1888,8.24,-3.3200000000000003,tmin
11,1889,9.02,-3.46,tmin
12,1890,8.76,-3.6099999999999994,tmin
13,1891,8.51,-3.63,tmin
14,1892,8.18,-3.67,tmin
15,1893,10.01,-4.12,tmin
16,1894,9.32,-3.38,tmin
17,1895,8.7,-3.749999999999999,tmin
18,1896,9.34,-3.5599999999999996,tmin
19,1897,9.44,-3.4499999999999993,tmin
20,1898,10.1,-3.5299999999999994,tmin
21,1899,9.71,-3.910000000000001,tmin
22,1900,9.6,-3.54,tmin
23,1901,9.15,-3.74,tmin
24,1902,8.88,-3.3500000000000005,tmin
25,1903,9.33,-3.2,tmin
26,1904,9.02,-3.4799999999999995,tmin
27,1905,9.16,-3.4400000000000004,tmin
28,1906,9.47,-3.7300000000000004,tmin
29,1907,8.88,-3.5200000000000005,tmin
30,1908,9.28,-3.51,tmin
31,1909,8.59,-3.63,tmin
32,1910,9.2,-3.4099999999999993,tmin
33,1911,10.09,-3.7800000000000002,tmin
34,1912,9.37,-3.4499999999999993,tmin
35,1913,9.83,-3.4800000000000004,tmin
36,1914,9.9,-3.8000000000000007,tmin
37,1915,8.96,-3.7600000000000007,tmin
38,1916,9.2,-3.5199999999999996,tmin
39,1917,8.55,-3.5700000000000003,tmin
40,1918,9.53,-3.6599999999999993,tmin
41,1919,8.53,-3.6799999999999997,tmin
42,1920,9.58,-3.4000000000000004,tmin
43,1921,10.51,-3.9299999999999997,tmin
44,1922,8.7,-3.499999999999999,tmin
45,1923,9.11,-3.379999999999999,tmin
46,1924,9.29,-3.259999999999999,tmin
47,1925,9.2,-3.539999999999999,tmin
48,1926,9.74,-3.4000000000000004,tmin
49,1927,9.24,-3.2300000000000004,tmin
50,1928,9.59,-3.6499999999999995,tmin
51,1929,9.06,-3.9000000000000004,tmin
52,1930,9.47,-3.3200000000000003,tmin
53,1931,9.02,-3.34,tmin
54,1932,9.41,-3.4299999999999997,tmin
55,1933,9.86,-3.84,tmin
56,1934,10.03,-3.7699999999999996,tmin
57,1935,9.74,-3.6000000000000005,tmin
58,1936,9.35,-3.4699999999999998,tmin
59,1937,9.59,-3.49,tmin
60,1938,10.21,-3.6800000000000006,tmin
61,1939,9.7,-3.5299999999999994,tmin
62,1940,9.06,-3.880000000000001,tmin
63,1941,9.12,-3.5299999999999994,tmin
64,1942,9.11,-3.619999999999999,tmin
65,1943,10.05,-3.790000000000001,tmin
66,1944,9.59,-3.6099999999999994,tmin
67,1945,10.29,-3.619999999999999,tmin
68,1946,9.46,-3.570000000000001,tmin
69,1947,9.65,-3.67,tmin
70,1948,10.03,-3.709999999999999,tmin
71,1949,10.64,-4.000000000000001,tmin
72,1950,9.43,-3.46,tmin
73,1951,9.3,-3.500000000000001,tmin
74,1952,9.12,-3.579999999999999,tmin
75,1953,9.87,-3.6599999999999993,tmin
76,1954,9.26,-3.3899999999999997,tmin
77,1955,9.33,-3.8499999999999996,tmin
78,1956,8.87,-3.589999999999999,tmin
79,1957,10.06,-3.670000000000001,tmin
80,1958,9.45,-3.4299999999999997,tmin
81,1959,10.52,-4.109999999999999,tmin
82,1960,9.75,-3.62,tmin
83,1961,9.95,-3.799999999999999,tmin
84,1962,8.61,-3.5599999999999996,tmin
85,1963,8.52,-3.539999999999999,tmin
86,1964,9.48,-3.670000000000001,tmin
87,1965,8.99,-3.5600000000000005,tmin
88,1966,9.47,-3.410000000000001,tmin
89,1967,9.64,-3.4000000000000004,tmin
90,1968,9.32,-3.3200000000000003,tmin
91,1969,9.32,-3.5100000000000007,tmin
92,1970,9.6,-3.6099999999999994,tmin
93,1971,9.72,-3.6800000000000006,tmin
94,1972,9.22,-3.500000000000001,tmin
95,1973,9.57,-3.75,tmin
96,1974,9.64,-3.5300000000000002,tmin
97,1975,10.04,-3.839999999999999,tmin
98,1976,10.1,-3.869999999999999,tmin
99,1977,9.51,-3.3899999999999997,tmin
100,1978,9.47,-3.450000000000001,tmin
101,1979,8.85,-3.5199999999999996,tmin
102,1980,9.42,-3.51,tmin
103,1981,9.28,-3.5299999999999994,tmin
104,1982,9.86,-3.7299999999999995,tmin
105,1983,10.1,-3.619999999999999,tmin
106,1984,9.75,-3.8099999999999996,tmin
107,1985,8.9,-3.49,tmin
108,1986,8.81,-3.58,tmin
109,1987,9.08,-3.42,tmin
110,1988,9.8,-3.5100000000000007,tmin
111,1989,10.54,-3.9799999999999995,tmin
112,1990,10.65,-3.9300000000000006,tmin
113,1991,9.58,-3.71,tmin
114,1992,9.87,-3.639999999999999,tmin
115,1993,9.52,-3.539999999999999,tmin
116,1994,10.29,-3.539999999999999,tmin
117,1995,10.55,-3.950000000000001,tmin
118,1996,9.22,-3.660000000000001,tmin
119,1997,10.56,-3.8900000000000006,tmin
120,1998,10.35,-3.59,tmin
121,1999,10.65,-3.7700000000000005,tmin
122,2000,10.32,-3.6000000000000005,tmin
123,2001,9.97,-3.7300000000000004,tmin
124,2002,10.63,-3.7200000000000006,tmin
125,2003,10.54,-4.279999999999999,tmin
126,2004,10.5,-3.5999999999999996,tmin
127,2005,10.48,-3.75,tmin
128,2006,10.87,-3.679999999999999,tmin
129,2007,10.5,-3.7199999999999998,tmin
130,2008,9.97,-3.620000000000001,tmin
131,2009,10.14,-3.7200000000000006,tmin
132,2010,8.86,-3.789999999999999,tmin
133,2011,10.72,-3.830000000000001,tmin
134,2012,9.72,-3.700000000000001,tmin
135,2013,9.61,-3.6899999999999995,tmin
136,2014,10.95,-3.799999999999999,tmin
137,2015,10.31,-3.8600000000000003,tmin
138,2016,10.34,-3.83,tmin
139,2017,10.58,-3.71,tmin
140,2018,10.68,-4.04,tmin
141,2019,10.34,-3.9699999999999998,tmin
142,2020,10.76,-3.96,tmin
143,2021,-99.99,0.0,tmin
